id_commande,id_client,id_produit,date_commande,quantite,prix_unitaire,statut,ville_livraison,mode_paiement,id_livreur,date_livraison
CMD000000,CL00132,P019,Aug 08 2024,2,3114.82,KO,TNG,Carte,L3,2024-12-01
CMD000001,CL_DUB_11,P023,Feb 22 2024,3,320.59,OK,TNG,Carte,L3,2024-12-01
CMD000002,CL00867,P031,Jan 11 2024,1,3788.64,annulé,TANGER,Carte,L2,2024-12-01
CMD000003,CL00038,P060,10/08/2024,2,1955.01,DONE,CASA,Carte,L4,2024-12-01
CMD000004,CL00492,P046,Jul 01 2024,4,3491.35,en_cours,CASA,Carte,L1,2024-12-01
CMD000005,CL00837,P082,2024-09-17,3,530.42,annulé,casablanca,Carte,L4,2024-12-01
CMD000006,CL_DUB_27,P070,Nov 09 2024,4,2944.97,en_cours,Tnja,Carte,L3,2024-12-01
CMD000007,CL00528,P072,2024-09-28,4,1090.78,KO,TNG,Carte,,2024-12-01
CMD000008,CL00424,P096,2024-09-08,4,4445.7,annulé,CASA,Carte,L3,2024-12-01
CMD000009,CL00007,P087,23/06/2024,2,4220.09,annulé,tanger,Carte,L1,2024-12-01
CMD000010,CL_DUB_25,P060,17/06/2024,2,746.12,livré,TANGER,Carte,L4,2024-12-01
CMD000011,CL00960,P008,Jul 15 2024,2,3606.52,en_cours,tanger,Carte,L2,2024-12-01
CMD000012,CL00688,P025,01/02/2024,4,2727.98,annulé,TNG,Carte,L4,2024-12-01
CMD000013,CL00943,P006,30/01/2024,4,2281.84,livré,Tnja,Carte,L2,2024-12-01
CMD000014,CL00411,P053,24/01/2024,3,991.18,annulé,TNG,Carte,L1,2024-12-01
CMD000015,CL00298,P035,2024-11-23,3,2126.9,en_cours,tanger,Carte,L4,2024-12-01
CMD000016,CL00045,P029,Jan 18 2024,3,3043.5,en_cours,TANGER,Carte,L1,2024-12-01
CMD000017,CL00607,P085,Aug 07 2024,1,978.27,annulé,TNG,Carte,L1,2024-12-01
CMD000018,CL00816,P086,Aug 11 2024,1,867.64,annulé,CASA,Carte,,2024-12-01
CMD000019,CL00969,P078,23/08/2024,2,1159.48,livré,TANGER,Carte,L4,2024-12-01
CMD000020,CL00424,P017,2024-06-19,1,3110.99,OK,tanger,Carte,L2,2024-12-01
CMD000021,CL00475,P022,14/03/2024,4,2969.19,OK,casablanca,Carte,L4,2024-12-01
CMD000022,CL00894,P044,2024-04-03,4,2212.46,annulé,Tnja,Carte,L2,2024-12-01
CMD000023,CL00170,P015,23/04/2024,4,4955.81,KO,casablanca,Carte,L4,2024-12-01
CMD000024,CL00724,P017,Feb 08 2024,3,462.84,DONE,casablanca,Carte,,2024-12-01
CMD000025,CL00065,P099,18/10/2024,1,2600.47,en_cours,tanger,Carte,L4,2024-12-01
CMD000026,CL00079,P019,19/05/2024,2,3167.18,en_cours,TANGER,Carte,L4,2024-12-01
CMD000027,CL00826,P054,May 21 2024,2,1127.16,OK,casablanca,Carte,L1,2024-12-01
CMD000028,CL00876,P066,Jul 09 2024,1,2023.28,KO,TNG,Carte,L4,2024-12-01
CMD000029,CL00584,P027,15/12/2024,4,2740.12,en_cours,TNG,Carte,L3,2024-12-01
CMD000030,CL00166,P066,Jul 14 2024,2,952.32,en_cours,casablanca,Carte,L4,2024-12-01
CMD000031,CL00555,P072,17/12/2024,2,3184.55,DONE,TANGER,Carte,,2024-12-01
CMD000032,CL00908,P076,Jul 26 2024,3,781.2,KO,Tnja,Carte,L2,2024-12-01
CMD000033,CL00573,P001,27/11/2024,1,3449.93,DONE,Tnja,Carte,L3,2024-12-01
CMD000034,CL00270,P066,May 01 2024,4,4881.38,OK,TANGER,Carte,L4,2024-12-01
CMD000035,CL00885,P033,Aug 19 2024,2,1617.25,en_cours,tanger,Carte,L3,2024-12-01
CMD000036,CL00270,P096,2024-11-03,1,0.0,OK,CASA,Carte,L4,2024-12-01
CMD000037,CL00866,P099,Jan 23 2024,4,2160.95,KO,TANGER,Carte,L4,2024-12-01
CMD000038,CL00402,P084,Mar 21 2024,4,2645.25,livré,TANGER,Carte,L4,2024-12-01
CMD000039,CL00641,P027,22/09/2024,1,548.11,livré,Tnja,Carte,L3,2024-12-01
CMD000040,CL00304,P004,Dec 06 2024,4,0.0,DONE,Tnja,Carte,L3,2024-12-01
CMD000041,CL00100,P070,2024-04-11,4,2935.66,en_cours,CASA,Carte,L1,2024-12-01
CMD000042,CL00109,P018,04/09/2024,3,1476.52,en_cours,TANGER,Carte,L2,2024-12-01
CMD000043,CL00588,P085,Mar 31 2024,1,3765.14,OK,tanger,Carte,L3,2024-12-01
CMD000044,CL_DUB_19,P047,19/01/2024,3,2984.58,OK,Tnja,Carte,L2,2024-12-01
CMD000045,CL00205,P092,25/06/2024,1,1151.43,livré,TNG,Carte,L2,2024-12-01
CMD000046,CL00657,P014,28/02/2024,4,1104.67,OK,tanger,Carte,L4,2024-12-01
CMD000047,CL00181,P070,2024-02-12,3,4380.62,OK,casablanca,Carte,L1,2024-12-01
CMD000048,CL00888,P094,Dec 24 2024,1,3080.62,DONE,Tnja,Carte,L3,2024-12-01
CMD000049,CL00313,P013,Sep 23 2024,1,4541.33,annulé,TANGER,Carte,L2,2024-12-01
CMD000050,CL00714,P039,2024-09-26,4,2006.65,en_cours,TANGER,Carte,L1,2024-12-01
CMD000051,CL00990,P035,Mar 04 2024,4,2170.47,DONE,TANGER,Carte,L4,2024-12-01
CMD000052,CL00270,P093,07/09/2024,2,2069.02,en_cours,CASA,Carte,L4,2024-12-01
CMD000053,CL00270,P042,19/04/2024,3,4298.41,en_cours,casablanca,Carte,L4,2024-12-01
CMD000054,CL00581,P015,Apr 27 2024,2,1793.0,livré,TANGER,Carte,L4,2024-12-01
CMD000055,CL00589,P032,Mar 24 2024,1,4151.72,en_cours,TANGER,Carte,L3,2024-12-01
CMD000056,CL00279,P011,2024-07-27,2,4861.37,annulé,tanger,Carte,L2,2024-12-01
CMD000057,CL00346,P064,Mar 01 2024,4,1013.76,livré,casablanca,Carte,L1,2024-12-01
CMD000058,CL00839,P049,2024-05-13,4,3569.43,DONE,TANGER,Carte,,2024-12-01
CMD000059,CL00616,P090,2024-01-18,2,3032.34,DONE,tanger,Carte,L1,2024-12-01
CMD000060,CL00761,P034,2024-06-21,4,3693.9,OK,TNG,Carte,L1,2024-12-01
CMD000061,CL00944,P041,May 04 2024,1,4629.29,DONE,casablanca,Carte,L1,2024-12-01
CMD000062,CL00826,P075,Sep 21 2024,1,1622.34,livré,casablanca,Carte,L3,2024-12-01
CMD000063,CL00814,P035,17/03/2024,2,2457.79,en_cours,CASA,Carte,L1,2024-12-01
CMD000064,CL00539,P031,09/07/2024,2,956.55,DONE,TANGER,Carte,L4,2024-12-01
CMD000065,CL00194,P026,2024-08-08,1,987.1,annulé,tanger,Carte,L1,2024-12-01
CMD000066,CL00135,P064,Mar 13 2024,2,2287.75,DONE,casablanca,Carte,L2,2024-12-01
CMD000067,CL00750,P056,16/01/2024,2,798.16,annulé,Tnja,Carte,,2024-12-01
CMD000068,CL00721,P051,29/12/2024,4,782.9,KO,CASA,Carte,L2,2024-12-01
CMD000069,CL00142,P084,Mar 19 2024,2,4163.26,DONE,casablanca,Carte,L3,2024-12-01
CMD000070,CL00122,P029,May 03 2024,4,623.29,OK,CASA,Carte,L1,2024-12-01
CMD000071,CL00467,P040,Aug 18 2024,3,253.91,OK,tanger,Carte,L1,2024-12-01
CMD000072,CL00833,P009,Jun 01 2024,1,4669.95,annulé,Tnja,Carte,L2,2024-12-01
CMD000073,CL00067,P034,Nov 11 2024,4,1454.57,OK,tanger,Carte,L3,2024-12-01
CMD000074,CL00919,P090,10/03/2024,4,1196.24,en_cours,casablanca,Carte,L2,2024-12-01
CMD000075,CL00103,P022,2024-02-09,2,3536.19,DONE,CASA,Carte,L2,2024-12-01
CMD000076,CL00446,P054,25/04/2024,1,1678.84,en_cours,CASA,Carte,L4,2024-12-01
CMD000077,CL00455,P036,27/12/2024,2,2175.32,OK,Tnja,Carte,L3,2024-12-01
CMD000078,CL00385,P098,14/10/2024,1,3595.34,KO,TNG,Carte,L4,2024-12-01
CMD000079,CL00975,P080,2024-01-01,1,4531.79,livré,casablanca,Carte,L4,2024-12-01
CMD000080,CL00282,P001,27/04/2024,2,4505.41,DONE,tanger,Carte,L2,2024-12-01
CMD000081,CL00728,P088,18/09/2024,1,1172.55,DONE,CASA,Carte,L3,2024-12-01
CMD000082,CL00764,P049,Nov 21 2024,2,1704.16,KO,casablanca,Carte,L3,2024-12-01
CMD000083,CL00450,P019,02/08/2024,4,4187.54,annulé,TANGER,Carte,L2,2024-12-01
CMD000084,CL00548,P029,2024-02-01,4,1792.87,OK,casablanca,Carte,L1,2024-12-01
CMD000085,CL00730,P051,22/07/2024,1,1894.05,DONE,tanger,Carte,L1,2024-12-01
CMD000086,CL00003,P019,29/05/2024,1,948.02,OK,Tnja,Carte,L2,2024-12-01
CMD000087,CL00920,P027,2024-03-10,4,3049.6,DONE,CASA,Carte,L1,2024-12-01
CMD000088,CL00798,P009,2024-12-06,4,4434.2,DONE,TANGER,Carte,L3,2024-12-01
CMD000089,CL00391,P011,Jun 10 2024,2,1330.72,OK,CASA,Carte,L3,2024-12-01
CMD000090,CL00995,P017,2024-01-19,3,4293.42,DONE,TNG,Carte,L3,2024-12-01
CMD000091,CL00971,P022,21/07/2024,4,1984.29,en_cours,CASA,Carte,L3,2024-12-01
CMD000092,CL00532,P062,Apr 13 2024,3,862.17,KO,tanger,Carte,L2,2024-12-01
CMD000093,CL00751,P056,Jan 05 2024,3,0.0,livré,Tnja,Carte,L4,2024-12-01
CMD000094,CL00119,P088,2024-09-03,1,2298.2,KO,casablanca,Carte,L1,2024-12-01
CMD000095,CL00922,P007,Feb 04 2024,4,946.78,DONE,tanger,Carte,,2024-12-01
CMD000096,CL00266,P079,20/01/2024,3,230.65,livré,Tnja,Carte,L2,2024-12-01
CMD000097,CL00811,P046,Feb 20 2024,3,2457.44,DONE,casablanca,Carte,L2,2024-12-01
CMD000098,CL00138,P030,Jan 06 2024,2,409.39,annulé,casablanca,Carte,L1,2024-12-01
CMD000099,CL00535,P026,07/12/2024,1,2770.91,DONE,TNG,Carte,L3,2024-12-01
CMD000100,CL00505,P087,Aug 14 2024,2,1324.73,OK,Tnja,Carte,L4,2024-12-01
CMD000101,CL00097,P089,2024-12-08,2,1707.49,livré,casablanca,Carte,L1,2024-12-01
CMD000102,CL00666,P095,May 15 2024,2,4972.89,DONE,TNG,Carte,L1,2024-12-01
CMD000103,CL00981,P030,04/11/2024,-2,2388.08,annulé,tanger,Carte,L2,2024-12-01
CMD000104,CL00058,P059,2024-04-14,3,3884.08,OK,Tnja,Carte,L4,2024-12-01
CMD000105,CL00245,P073,13/07/2024,4,501.62,en_cours,Tnja,Carte,L1,2024-12-01
CMD000106,CL00097,P099,2024-06-19,2,4607.95,KO,casablanca,Carte,L3,2024-12-01
CMD000107,CL00702,P097,Nov 18 2024,2,3170.19,annulé,tanger,Carte,L1,2024-12-01
CMD000108,CL00283,P059,2024-07-01,4,4698.24,DONE,TANGER,Carte,L2,2024-12-01
CMD000109,CL00688,P055,23/04/2024,2,1399.49,DONE,Tnja,Carte,L2,2024-12-01
CMD000110,CL00522,P032,May 26 2024,4,1090.14,en_cours,TNG,Carte,L2,2024-12-01
CMD000111,CL00741,P038,Mar 01 2024,3,2439.75,DONE,CASA,Carte,L1,2024-12-01
CMD000112,CL00900,P036,2024-11-01,3,3326.69,OK,tanger,Carte,L2,2024-12-01
