id_commande,id_client,id_produit,date_commande,quantite,prix_unitaire,statut,ville_livraison,mode_paiement,id_livreur,date_livraison
CMD003688,C00577,P001,2024-08-17,1,12481.13,annule,CAS,virement,L017,
CMD003799,C00134,P006,2024-04-24,4,17711.2,OK,Agadir,cmi,L030,2024-04-28
CMD003295,C00692,P001,2024-07-19,5,12153.31,retourne,Casablanca,virement,L028,2024-07-24
CMD002924,C00422,P016,11/12/2022,1,1171.46,LIVRE,TANGER,cash,L014,2022-12-17
CMD000753,C00248,P001,20/03/2023,10,11585.06,retourné,Agadir,cash,L005,2023-03-28
CMD003711,C00165,P026,2024-11-20,5,209.74,retourne,MARRAKECH,wafacash,L027,2024-12-01
CMD001130,C00679,P015,Sep 16 2022,7,1366.49,livre,Mrakch,wafacash,L021,2022-09-21
CMD003953,C00333,P017,2022-02-07,5,432.47,DONE,Casablanca,virement,L030,2022-02-14
CMD002709,C00609,P025,Mar 28 2022,6,873.9,livré,Meknès,cash,L001,2022-04-01
CMD004705,C00630,P029,11/04/2024,10,319.49,livre,TNG,wafacash,L017,2024-04-14
CMD001958,C01193,P020,2022-03-30,7,272.01,livre,marrakech,carte_bancaire,L029,2022-04-02
CMD004832,C00436,P006,26/10/2023,3,20508.7,en_cours,fes,carte_bancaire,L014,
CMD002622,C00304,P016,17/07/2022,3,1380.61,livre,Rabat,virement,L016,2022-07-18
CMD002030,C00453,P010,2022-06-05,1,14550.22,livre,Tanger,cash,L019,2022-06-07
CMD000301,C00669,P012,2024-03-18,5,2509.29,annule,Fès,cash,L019,
CMD000508,C00218,P023,01/05/2024,4,2702.33,annulé,MEKNES,virement,L002,
CMD003563,C00635,P030,May 05 2022,7,78.05,LIVRE,Meknès,virement,L014,2022-05-10
CMD004504,C00222,P012,Dec 15 2024,5,2720.13,livré,CASABLANCA,carte_bancaire,L007,2024-12-18
CMD002459,C00149,P019,Sep 24 2023,7,1434.03,OK,Rabat,carte_bancaire,L025,2023-09-28
CMD000891,C00088,P006,2023-08-26,5,18111.51,retourne,Rabat,wafacash,L014,2023-08-31
CMD002820,C00402,P012,2022-03-26,5,2259.35,livre,RABAT,cmi,L028,2022-03-28
CMD001017,C00220,P021,2022-02-02,10,508.13,annulé,Fès,cash,L026,
CMD001332,C00328,P016,Nov 30 2022,9,1209.49,retourne,fes,cash,L021,2022-12-10
CMD004364,C00002,P004,2024-12-02,5,4658.15,livré,Agadir,cmi,L017,2024-12-03
CMD003030,C01016,P028,2022-06-09,5,197.45,annule,Meknès,cash,L006,
CMD004661,C01075,P004,2024-06-04,6,5189.13,livré,Meknès,wafacash,L004,2024-06-09
CMD002127,C00424,P005,Jan 19 2022,10,8729.5,livré,Marrakesh,cmi,L029,2022-01-25
CMD004759,C01092,P015,11/12/2023,3,1249.49,en_cours,fes,cash,L027,
CMD000800,C00087,P030,Feb 24 2023,7,86.6,annule,tanger,wafacash,L021,
CMD004648,C00213,P012,May 15 2022,7,2492.91,OK,Fez,carte_bancaire,L004,2022-05-16
CMD002245,C00201,P022,01/11/2022,7,797.16,retourne,meknes,cmi,L009,2022-11-09
CMD002684,C00548,P031,11/12/2024,7,1092.21,annulé,Tnja,cash,,
CMD004207,C00365,P018,2022-11-18,5,730.88,retourné,FES,cmi,L014,2022-11-26
CMD000168,C01078,P030,Sep 11 2022,10,81.01,livré,Fez,cash,L005,2022-09-15
CMD004700,C01156,P032,11/06/2024,9,938.79,livré,Fez,cmi,L025,2024-06-15
CMD002471,C00766,P002,Jan 26 2022,5,9313.31,LIVRE,Agadir,wafacash,,2022-01-29
CMD000105,C00238,P016,2024-03-07,6,1317.22,livré,agadir,cmi,L021,2024-03-09
CMD001864,C00685,P028,2022-12-05,3,197.29,retourne,Tanger,cash,L025,2022-12-10
CMD002340,C00044,P005,2024-10-19,6,9724.3,annule,casablanca,cmi,L018,
CMD001318,C00728,P026,06/08/2024,2,215.53,annule,Casablanca,cash,L001,
CMD004111,C00148,P012,Oct 19 2023,5,2190.61,LIVRE,rabat,virement,L029,2023-10-22
CMD002685,C00360,P022,2023-12-23,5,820.19,livre,MARRAKECH,wafacash,L005,2023-12-28
CMD000204,C00029,P011,08/07/2022,10,2685.9,en_cours,CASABLANCA,virement,L014,
CMD004600,C00843,P029,2022-05-10,9,310.94,livré,Casablanca,virement,L024,2022-05-16
CMD001974,C00703,P009,Jul 06 2024,6,12690.34,KO,Fez,virement,,
CMD002236,C00822,P016,22/07/2022,2,1414.97,livré,TANGER,virement,L009,2022-07-23
CMD004280,C00479,P013,Jun 26 2023,8,2376.94,annule,Tanger,wafacash,L001,
CMD000473,C00625,P032,2024-11-07,6,965.19,retourné,casablanca,carte_bancaire,L020,2024-11-20
CMD000581,C00185,P008,01/06/2023,1,13609.2,retourne,TANGER,cmi,L024,2023-06-14
CMD003838,C00398,P001,Jul 30 2022,6,14009.21,annule,Fez,wafacash,L020,
CMD003182,C00525,P021,30/12/2023,6,446.79,livré,Casablanca,wafacash,L010,2024-01-02
CMD001743,C00264,P014,Jun 22 2022,10,770.33,en_cours,MEKNES,cash,,
CMD001690,C00567,P032,04/06/2023,2,988.64,DONE,FES,wafacash,L024,2023-06-07
CMD002926,C00535,P029,2022-06-24,5,269.94,en_cours,Fez,wafacash,L006,
CMD000646,C00495,P001,Apr 01 2023,1,13506.72,LIVRE,CAS,carte_bancaire,L012,2023-04-06
CMD004756,C00836,P028,2023-12-16,7,180.01,OK,Fez,virement,L018,2023-12-23
